collector_id,display_name,home_city,preferred_language,literacy_tier,active_days_per_month,total_lots_transacted,total_weight_kg,gross_earnings_platform_inr,informal_benchmark_inr,earnings_paid_inr,earnings_pending_inr,uplift_vs_informal_inr,uplift_pct
COL2000,Suresh Shinde,Mumbai,mr,numerals_only,20,10,216.6,22563.06,18291.85,18038.98,4524.08,4271.21,23.35
COL2001,Arjun Sawant,Nagpur,mr,numerals_only,28,27,864.5,97607.3,81557.3,57218.31,40388.99,16050.0,19.68
COL2002,Sanjay Dhage,Pimpri-Chinchwad,hi,functional,16,25,760.3,84005.79,73792.54,74515.63,9490.16,10213.25,13.84
COL2003,Vikas Chavan,Nashik,mr,functional,23,19,536.0,89326.96,72811.93,76659.68,12667.28,16515.03,22.68
COL2004,Bhaskar Kamble,Aurangabad,mr,numerals_only,18,8,427.1,53120.48,45932.22,48463.75,4656.73,7188.26,15.65
COL2005,Sagar Ansari,Pune,mr,numerals_only,19,176,4962.2,582599.23,511718.5,448375.59,134223.64,70880.73,13.85
COL2006,Shobha Khan,Pune,mr,non_reader,28,14,198.8,53677.68,45242.68,45166.24,8511.44,8435.0,18.64
COL2007,Ravi Yadav,Nashik,mr,non_reader,7,39,1057.3,219987.29,182987.7,102243.44,117743.85,36999.59,20.22
COL2008,Rakesh Pawar,Pune,mr,functional,20,8,308.5,44520.7,41859.65,43362.76,1157.94,2661.05,6.36
COL2009,Sindhu Sawant,Mumbai,mr,non_reader,28,8,203.8,67828.51,60978.92,65938.91,1889.6,6849.59,11.23
COL2010,Sunita Salunkhe,Nashik,mr,functional,15,24,544.7,60241.08,51059.04,37561.36,22679.72,9182.04,17.98
COL2011,Vaishali Lokhande,Nagpur,mr,functional,15,45,1182.0,241023.57,202806.27,219560.25,21463.32,38217.3,18.84
COL2012,Shobha Ghorpade,Pune,mr,numerals_only,20,11,179.5,18707.68,16193.06,15890.04,2817.64,2514.62,15.53
COL2013,Deepak Qureshi,Nagpur,mr,functional,16,7,187.8,11479.53,10788.74,11479.53,0.0,690.79,6.4
COL2014,Suresh Sonawane,Nashik,mr,numerals_only,19,9,363.8,73916.03,63048.94,73003.49,912.54,10867.09,17.24
COL2015,Bhaskar Sawant,Pimpri-Chinchwad,mr,non_reader,27,15,511.5,40027.24,34799.34,30539.79,9487.45,5227.9,15.02
COL2016,Nitin Nikam,Pune,hi,functional,26,36,1115.8,119717.02,103025.84,101016.09,18700.93,16691.18,16.2
COL2017,Ashok More,Pimpri-Chinchwad,mr,functional,15,13,270.9,37475.98,30979.31,36007.74,1468.24,6496.67,20.97
