collector_id,display_name,preferred_language,home_city,operating_areas,device_tier,literacy_tier,active_days_per_month,joined_on,onboarded_by,pii_minimised
COL2000,Suresh Shinde,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,numerals_only,20,2025-05-17,ngo_partner,True
COL2001,Arjun Sawant,mr,New Town,New Town|Park Street,entry,numerals_only,28,2025-09-20,field_camp,True
COL2002,Sanjay Dhage,hi,Park Street,Park Street|Ballygunge,entry,functional,16,2025-05-24,peer_referral,True
COL2003,Vikas Chavan,mr,Ballygunge,Ballygunge|Gariahat,entry,functional,23,2025-09-07,field_camp,True
COL2004,Bhaskar Kamble,mr,Gariahat,Gariahat|Behala,entry,numerals_only,18,2025-04-24,ngo_partner,True
COL2005,Sagar Ansari,mr,Behala,Behala|Tollygunge,entry,numerals_only,19,2026-07-18,peer_referral,True
COL2006,Shobha Khan,mr,Tollygunge,Tollygunge|Dum Dum,entry,non_reader,28,2026-06-04,field_camp,True
COL2007,Ravi Yadav,mr,Dum Dum,Dum Dum|Rajarhat,entry,non_reader,7,2026-03-27,peer_referral,True
COL2008,Rakesh Pawar,mr,Rajarhat,Rajarhat|Howrah,entry,functional,20,2025-03-29,peer_referral,True
COL2009,Sindhu Sawant,mr,Howrah,Howrah|Salt Lake (Bidhannagar),feature_android,non_reader,28,2026-03-10,field_camp,True
COL2010,Sunita Salunkhe,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,functional,15,2025-05-06,peer_referral,True
COL2011,Vaishali Lokhande,mr,New Town,New Town|Park Street,entry,functional,15,2025-10-02,field_camp,True
COL2012,Shobha Ghorpade,mr,Park Street,Park Street|Ballygunge,entry,numerals_only,20,2025-11-08,ngo_partner,True
COL2013,Deepak Qureshi,mr,Ballygunge,Ballygunge|Gariahat,entry,functional,16,2026-01-24,peer_referral,True
COL2014,Suresh Sonawane,mr,Gariahat,Gariahat|Behala,mid,numerals_only,19,2025-11-10,peer_referral,True
COL2015,Bhaskar Sawant,mr,Behala,Behala|Tollygunge,feature_android,non_reader,27,2025-11-20,peer_referral,True
COL2016,Nitin Nikam,hi,Tollygunge,Tollygunge|Dum Dum,entry,functional,26,2026-02-03,ngo_partner,True
COL2017,Ashok More,mr,Dum Dum,Dum Dum|Rajarhat,entry,functional,15,2025-04-21,field_camp,True
